,SettlementPoints,Year,Month,Average Price
111,HB_HUBAVG,2017,04,24.830486111111114
112,HB_HUBAVG,2017,05,25.90502688172043
113,HB_HUBAVG,2017,06,28.513847222222218
114,HB_HUBAVG,2017,07,31.86440860215054
115,HB_HUBAVG,2017,08,27.83861559139785
116,HB_HUBAVG,2017,09,24.519694444444443
117,HB_HUBAVG,2017,10,24.701451612903227
118,HB_HUBAVG,2017,11,23.16713888888889
119,HB_HUBAVG,2017,12,21.209852150537632
120,HB_HUBAVG,2018,01,37.7730376344086
121,HB_HUBAVG,2018,02,21.830059523809524
122,HB_HUBAVG,2018,03,22.40343203230148
123,HB_HUBAVG,2018,04,22.450305555555556
124,HB_HUBAVG,2018,05,32.834852150537635
125,HB_HUBAVG,2018,06,29.78186111111111
126,HB_HUBAVG,2018,07,78.8323252688172
127,HB_HUBAVG,2018,08,31.694583333333334
128,HB_HUBAVG,2018,09,27.05302777777778
129,HB_HUBAVG,2018,10,29.889112903225808
130,HB_HUBAVG,2018,11,30.277208333333327
131,HB_HUBAVG,2018,12,30.191989247311827
132,HB_HUBAVG,2019,01,24.68340053763441
133,HB_HUBAVG,2019,02,21.25063988095238
134,HB_HUBAVG,2019,03,27.189030955585462
135,HB_HUBAVG,2019,04,22.221166666666665
136,HB_HUBAVG,2019,05,23.88376344086021
137,HB_HUBAVG,2019,06,25.17154166666667
138,HB_HUBAVG,2019,07,29.696236559139784
139,HB_HUBAVG,2019,08,126.34983870967741
140,HB_HUBAVG,2019,09,79.45919444444445
141,HB_HUBAVG,2019,10,28.13176075268817
142,HB_HUBAVG,2019,11,23.25723611111111
143,HB_HUBAVG,2019,12,18.623373655913976
144,HB_NORTH,2016,01,19.133306451612903
145,HB_NORTH,2016,02,15.29265804597701
146,HB_NORTH,2016,03,16.859367429340512
147,HB_NORTH,2016,04,18.350666666666665
148,HB_NORTH,2016,05,17.905631720430108
149,HB_NORTH,2016,06,23.158055555555556
150,HB_NORTH,2016,07,26.800793010752688
151,HB_NORTH,2016,08,29.828387096774193
152,HB_NORTH,2016,09,26.249180555555554
153,HB_NORTH,2016,10,24.005255376344085
154,HB_NORTH,2016,11,18.66488888888889
155,HB_NORTH,2016,12,25.14904569892473
156,HB_NORTH,2017,01,22.99185483870968
157,HB_NORTH,2017,02,19.448199404761905
158,HB_NORTH,2017,03,21.22777927321669
159,HB_NORTH,2017,04,21.410555555555558
160,HB_NORTH,2017,05,23.419919354838708
161,HB_NORTH,2017,06,25.890569444444445
162,HB_NORTH,2017,07,30.65431451612903
163,HB_NORTH,2017,08,26.83272849462365
164,HB_NORTH,2017,09,23.346111111111114
165,HB_NORTH,2017,10,21.405900537634412
166,HB_NORTH,2017,11,21.596208333333333
167,HB_NORTH,2017,12,20.952997311827957
168,HB_NORTH,2018,01,37.58590053763441
169,HB_NORTH,2018,02,21.76702380952381
170,HB_NORTH,2018,03,22.608008075370122
171,HB_NORTH,2018,04,23.522916666666667
172,HB_NORTH,2018,05,35.30614247311828
173,HB_NORTH,2018,06,30.21188888888889
174,HB_NORTH,2018,07,78.96845430107527
175,HB_NORTH,2018,08,31.60305107526882
176,HB_NORTH,2018,09,27.29963888888889
177,HB_NORTH,2018,10,30.034166666666664
178,HB_NORTH,2018,11,31.234888888888893
179,HB_NORTH,2018,12,30.398266129032255
180,HB_NORTH,2019,01,24.33263440860215
181,HB_NORTH,2019,02,20.864955357142858
182,HB_NORTH,2019,03,28.103714670255723
183,HB_NORTH,2019,04,22.99740277777778
184,HB_NORTH,2019,05,23.978884408602152
185,HB_NORTH,2019,06,25.17581944444444
186,HB_NORTH,2019,07,29.781290322580645
187,HB_NORTH,2019,08,126.52185483870967
188,HB_NORTH,2019,09,79.91958333333334
189,HB_NORTH,2019,10,27.995967741935484
190,HB_NORTH,2019,11,23.62861111111111
191,HB_NORTH,2019,12,18.73198924731183
192,HB_SOUTH,2016,01,19.210053763440857
193,HB_SOUTH,2016,02,15.333591954022989
194,HB_SOUTH,2016,03,16.76310901749664
195,HB_SOUTH,2016,04,18.51290277777778
196,HB_SOUTH,2016,05,18.57045698924731
197,HB_SOUTH,2016,06,24.645375
198,HB_SOUTH,2016,07,26.960255376344087
199,HB_SOUTH,2016,08,31.207970430107526
200,HB_SOUTH,2016,09,27.405569444444446
201,HB_SOUTH,2016,10,26.689663978494625
202,HB_SOUTH,2016,11,20.148833333333332
203,HB_SOUTH,2016,12,25.70899193548387
204,HB_SOUTH,2017,01,23.62481182795699
205,HB_SOUTH,2017,02,21.079360119047617
206,HB_SOUTH,2017,03,23.68075370121131
207,HB_SOUTH,2017,04,25.609402777777778
208,HB_SOUTH,2017,05,26.495013440860216
209,HB_SOUTH,2017,06,29.654694444444445
210,HB_SOUTH,2017,07,32.1294623655914
211,HB_SOUTH,2017,08,28.315026881720435
212,HB_SOUTH,2017,09,25.515097222222227
213,HB_SOUTH,2017,10,25.563655913978497
214,HB_SOUTH,2017,11,23.977180555555556
215,HB_SOUTH,2017,12,21.997916666666665
216,HB_SOUTH,2018,01,39.49814516129032
217,HB_SOUTH,2018,02,22.30639880952381
218,HB_SOUTH,2018,03,22.888452220726784
219,HB_SOUTH,2018,04,24.47188888888889
220,HB_SOUTH,2018,05,34.226075268817205
221,HB_SOUTH,2018,06,30.06863888888889
222,HB_SOUTH,2018,07,78.84737903225806
223,HB_SOUTH,2018,08,31.66752688172043
224,HB_SOUTH,2018,09,27.18980555555556
225,HB_SOUTH,2018,10,29.772513440860216
226,HB_SOUTH,2018,11,29.837180555555555
227,HB_SOUTH,2018,12,30.08930107526882
228,HB_SOUTH,2019,01,25.08606182795699
229,HB_SOUTH,2019,02,22.12563988095238
230,HB_SOUTH,2019,03,27.13555854643338
231,HB_SOUTH,2019,04,22.463333333333335
232,HB_SOUTH,2019,05,24.05994623655914
233,HB_SOUTH,2019,06,23.90436111111111
234,HB_SOUTH,2019,07,29.6375
235,HB_SOUTH,2019,08,125.93654569892472
236,HB_SOUTH,2019,09,78.90047222222223
237,HB_SOUTH,2019,10,29.468400537634405
238,HB_SOUTH,2019,11,23.718555555555557
