,SettelementPoint,Year,Hour,Volatility
107,HB_HOUSTON,2016,11,0.26527346534933954
108,HB_HOUSTON,2016,12,0.33067216954734024
109,HB_HOUSTON,2016,13,0.42938322929478423
110,HB_HOUSTON,2016,14,0.5288368932971679
111,HB_HOUSTON,2016,15,0.6194205337336972
112,HB_HOUSTON,2016,16,0.6117330783833758
113,HB_HOUSTON,2016,17,0.3731071289773874
114,HB_HOUSTON,2016,18,0.2456319660912932
115,HB_HOUSTON,2016,19,0.24066363354962134
116,HB_HOUSTON,2016,20,0.2361108058851432
117,HB_HOUSTON,2016,21,0.24678900305853868
118,HB_HOUSTON,2016,22,0.25757180220468684
119,HB_HOUSTON,2016,23,0.2980784710564403
120,HB_HOUSTON,2017,00,0.2466081229369585
121,HB_HOUSTON,2017,01,0.282663623775373
122,HB_HOUSTON,2017,02,0.31045733212337673
123,HB_HOUSTON,2017,03,0.28145871477207807
124,HB_HOUSTON,2017,04,0.2499024353758872
125,HB_HOUSTON,2017,05,0.17127408293675708
126,HB_HOUSTON,2017,06,0.19811545311512596
127,HB_HOUSTON,2017,07,0.1715787091670374
128,HB_HOUSTON,2017,08,0.1491994309631916
129,HB_HOUSTON,2017,09,0.1323079725745365
130,HB_HOUSTON,2017,10,0.15348572760166115
131,HB_HOUSTON,2017,11,0.20064920206977604
132,HB_HOUSTON,2017,12,0.26701680907215813
133,HB_HOUSTON,2017,13,0.36522954179573414
134,HB_HOUSTON,2017,14,0.4703411334951394
135,HB_HOUSTON,2017,15,0.5549633515788078
136,HB_HOUSTON,2017,16,0.522750489506762
137,HB_HOUSTON,2017,17,0.26806173779578724
138,HB_HOUSTON,2017,18,0.18473446289552561
139,HB_HOUSTON,2017,19,0.16646691212633877
140,HB_HOUSTON,2017,20,0.18253425266184803
141,HB_HOUSTON,2017,21,0.14008869973785648
142,HB_HOUSTON,2017,22,0.15564713545084766
143,HB_HOUSTON,2017,23,0.1778555877801564
144,HB_HOUSTON,2018,00,0.23582747625241604
145,HB_HOUSTON,2018,01,0.25811981734549927
146,HB_HOUSTON,2018,02,0.2817398547757505
147,HB_HOUSTON,2018,03,0.277081151988167
148,HB_HOUSTON,2018,04,0.27846355107723014
149,HB_HOUSTON,2018,05,0.30387837206805607
150,HB_HOUSTON,2018,06,0.4660445682956326
151,HB_HOUSTON,2018,07,0.42501067037795015
152,HB_HOUSTON,2018,08,0.316992775488177
